Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2,cluster
120202.42,69,32.73,1,0,2,0,1,1742.0641,2
120202.42,78,49.41,0,2,2,0,0,1541.0567,2
120202.42,78,25.91,1,1,2,1,1,1541.0567,1
120202.42,73,41.74,0,1,2,1,0,1646.6085,1
120202.42,105,30.56,1,1,3,0,0,1144.785,0
120202.52,59,30.12,0,1,2,1,0,2037.3308,1
120203.0,95,47.5,0,1,2,0,1,1265.2947,2
120631.58,79,36.99,1,3,2,1,0,1526.982,1
120803.43,74,33.73,0,3,3,1,0,1632.4788,0
120843.0,74,36.35,0,3,3,1,1,1633.0135,0
122000.0,78,28.52,1,0,2,1,1,1564.1026,1
122100.0,58,35.35,1,0,2,0,0,2105.1724,2
123000.0,40,24.57,0,2,2,1,0,3075.0,3
123000.0,80,33.07,1,0,2,1,1,1537.5,1
123000.0,89,38.28,1,0,3,0,0,1382.0225,0
123207.0,78,37.72,1,0,2,0,0,1579.5769,2
123207.48,79,7.67,0,2,2,1,1,1559.5884,3
123207.48,78,30.51,1,2,2,1,0,1579.5831,1
123208.0,83,0.92,0,0,2,1,1,1484.4337,3
123233.8,80,27.29,0,0,2,1,0,1540.4225,1
124333.01,72,42.9,0,0,2,1,0,1726.8474,1
125000.0,52,43.1,1,0,2,0,0,2403.8462,2
126150.0,58,56.21,1,2,2,0,1,2175.0,2
126200.0,71,36.27,0,0,2,0,0,1777.4648,2
